IV. ABILITY LEARNING LIST

The following is a list of all the abilities that characters can learn and at
what level.  There are other abilities that can be learned by completing
sidequest, which can be found in the previous section or the walkthrough.

Stocke
******
Push Assault (Level 1, 3 MP)
Left Assault (Level 2, 3 MP)
Power Wave (Level 4, 8 MP)
Heal (Level 5, 3 MP)
Recovery (Level 7, 3 MP)
Right Assault (Level 9, 3 MP)
Fire (Level 10, 5 MP)
Air Assault (Level 13, 3 MP)
Resurrection (Level 14, 7 MP)
Weakness Scan (Level 17, 1 MP)
Double Slash (Level 21, 10 MP)
Steal (Level 23, 3 MP)
Greater Heal (Level 25, 6 MP)
Area Heal (Level 31, 8 MP)
Head Crush (Level 37, 5 MP)
Heat Blade (Level 42, 14 MP)
G-Fire (Level 50, 15 MP)
Fire Storm (Level 60, 10 MP)

Raynie
******
Push Assault (Level 2, 3 MP)
Thunder (Level 4, 5 MP)
Poison Break (Level 8, 3 MP)
Frost (Level 11, 5 MP)
Fire (Level 15, 5 MP)
Regenerate (Level 20, 3 MP)
Rush (Level 25, 12 MP)
G-Fire (Level 30, 15 MP)
Mana Regen (Level 35, 12 MP)
G-Thunder (Level 41, 15 MP)
G-Frost (Level 47, 15 MP)
Backfire (Level 53, 12 MP)
Cross Thunder (Level 60, 15 MP)

Marco
*****
Heal (Level 2, 3 MP)
Grapple (Level 3, 3 MP)
Weakness Scan (Level 4, 1 MP)
Magic Boost (Level 8, 4 MP)
Guard Boost (Level 11, 4 MP)
Push Assault (Level 15, 3 MP)
Area Heal (Level 19, 8 MP)
Speed Break (Level 23, 4 MP)
Trans-turn (Level 26, 3 MP)
Resurrection (Level 29, 7 MP)
All Recovery (Level 33, 7 MP)
Greater Heal (Level 37, 8 MP)
Guard Rise (Level 44, 10 MP)
Magic Rise (Level 47, 10 MP)
Super Heal (Level 52, 10 MP)
Area G-Heal (Level 60, 12 MP)

Rosch
*****
Grave Tuck (Level 7, 8 MP)
Left Assault (Level 7, 3 MP)
Gull Swing (Level 9, 8 MP)
Grapple (Level 13, 3 MP)
Belial Claw (Level 17, 3 MP)
Cross Spike (Level 20, 10 MP)
Big Air (Level 24, 8 MP)
Power Up (Level 29, 4 MP)
Stun Blow (Level 40, 5 MP)
Wind Thrust (Level 47, 8 MP)
Giant Push (Level 55, 8 MP)
Spiral End (Level 60, 18 MP)

Aht
***
Steal (Level 15, 3 MP)
Weakness Scan (Level 15, 1 MP)
Greater Heal (Level 15, 6 MP)
Polaris (Level 15, 2 MP)
Electric Trap (Level 15, 5 MP)
Bomb Trap (Level 17, 5 MP)
Ice Trap (Level 20, 5 MP)
Starlight (Level 23, 8 MP)
Poison Trap (Level 26, 2 MP)
Meteora (Level 30, 8 MP)
Area G-Heal (Level 33, 12 MP)
Push Assault (Level 36, 3 MP)
Cross Star (Level 39, 8 MP)
Sleep Trap (Level 42, 3 MP)
Super Heal (Level 45, 10 MP)
Lunatic (Level 48, 10 MP)
Air Assault (Level 51, 3 MP)
Mana Regen (Level 54, 12 MP)
Guard Break (Level 57, 4 MP)
Speed Break (Level 60, 4 MP)
Dreamless (Level 62, 12 MP)

Gafka
*****
Air Assault (Level 26, 3 MP)
Push Assault (Level 26, 3 MP)
Elemental Beads (Level 26, 6 MP)
Mushin (Level 26, 2 MP)
Qigong Wave (Level 28, 6 MP)
Divine Spirit (Level 33, 8 MP)
Echoing Impulse (Level 39, 10 MP)
Qigong (Level 45, 3 MP)
Dohatsuten (Level 50, 12 MP)
Bedrock Smash (Level 55, 12 MP)
Waxing Rage (Level 60, 1 MP)

Eruca
*****
Mana-Shot (Level 31, 5 MP)
Holy Arrow (Level 31, 20 MP)
Aim Bullet (Level 31, 4 MP)
Hard Shot (Level 31, 5 MP)
Weakness Scan (Level 31, 1 MP)
Power Rise (Level 31, 10 MP)
Regenerate (Level 31, 3 MP)
Trans-turn (Level 31, 3 MP)
G-Frost (Level 32, 15 MP)
Deadline (Level 35, 8 MP)
Blizzard (Level 38, 20 MP)
Judgement (Level 42, 18 MP)
Magic Boost (Level 45, 4 MP)
All Recovery (Level 48, 7 MP)
Push Assault (Level 51, 3 MP)
Chain Rave (Level 54, 15 MP)
Area G-Heal (Level 60, 12MP)
